X_Y  COJ4-3  COJ5-4  COJ6-5  COJ7-6  COJ8-7  COJ9-8  COJ10-9  COJ11-10  COJ12-11  COJ13-12  13COJ5-4  13COJ6-5  13COJ7-6  13COJ8-7  13COJ9-8  13COJ10-9  13COJ11-10  13COJ12-11  13COJ13-12  CI609  CI370
2_9  6.6479e-09  4.0692e-09  2.6655e-09  2.1111e-09  3.1302e-09  4.5519e-09  7.6956e-09  5.3064e-09  3.9447e-09  7.2531e-09  3.8137e-09  2.1170e-09  2.7229e-09  4.6778e-09  4.0634e-09  1.1824e-08  8.7637e-09  inf  inf  4.9106e-09  2.2602e-09
2_10  4.6011e-09  3.4843e-09  2.0255e-09  1.9230e-09  3.2293e-09  5.0343e-09  2.7100e-09  6.0461e-09  4.9387e-09  5.5086e-09  2.3631e-09  3.4655e-09  2.3025e-09  4.3800e-09  4.8909e-09  3.6968e-09  2.6167e-09  5.3959e-09  inf  2.7373e-09  1.8219e-09
3_7  1.6116e-09  2.5904e-09  1.9302e-09  2.0528e-09  4.8706e-09  2.9930e-09  8.2283e-09  7.4887e-09  4.7546e-09  2.2970e-08  2.1072e-09  2.1161e-09  1.4476e-09  3.8935e-09  3.9407e-09  3.5792e-09  inf  1.2074e+07  3.3957e-09  1.9841e-09  2.3871e-09
3_8  4.0160e-09  2.4083e-09  1.4520e-09  1.0195e-09  3.4398e-09  6.9789e-09  5.1924e-09  8.4183e-09  6.1736e-09  7.5395e-09  2.3767e-09  1.9669e-09  1.4615e-09  2.3013e-09  4.8236e-09  6.2184e-09  5.2217e-09  3.2044e-09  6.2242e-09  2.0772e-09  9.0642e-10
3_9  3.7082e-09  1.7553e-09  1.7209e-09  1.5936e-09  2.7223e-09  2.2524e-09  3.0744e-09  3.6037e-09  4.1673e-09  1.0388e-08  1.5400e-09  1.6399e-09  1.4789e-09  2.5436e-09  3.6767e-09  3.4146e-09  inf  inf  1.2206e-08  1.8151e-09  1.7433e-09
3_10  6.0281e-09  2.7680e-09  1.7073e-09  1.5584e-09  3.0221e-09  2.6072e-09  4.5607e-09  6.2436e-09  3.8557e-09  5.6955e-09  1.9292e-09  2.0745e-09  2.0505e-09  4.4854e-09  3.9062e-09  3.9833e-09  5.7963e-09  2.1565e-09  4.7629e-09  2.1755e-09  1.4746e-09
3_11  7.2074e-09  3.0543e-09  1.7441e-09  1.6761e-09  3.1766e-09  2.4413e-09  2.8341e-09  2.5397e-09  3.0340e-09  4.0973e-09  4.5786e-09  3.0572e-09  2.4113e-09  4.2885e-09  6.5656e-09  3.9215e-09  inf  3.9279e-09  3.7317e-09  2.4595e-09  1.6605e-09
4_6  2.4392e-09  1.6223e-09  9.3364e-10  8.0013e-10  2.4731e-09  1.0006e-08  5.9060e-09  1.3919e-08  6.9208e-09  5.9394e-09  1.2816e-09  1.0972e-09  8.1739e-10  2.1960e-09  2.1338e-09  6.7822e-09  2.6145e-09  inf  inf  1.4629e-09  8.7809e-10
4_7  2.4035e-09  2.7322e-09  1.4514e-09  1.1946e-09  3.6406e-09  2.3381e-09  2.6371e-09  2.6236e-09  2.7876e-09  4.8761e-09  1.8196e-09  1.7769e-09  1.3845e-09  3.3421e-09  2.0290e-09  4.1409e-09  inf  inf  inf  1.8028e-09  1.3948e-09
4_8  2.8684e-09  2.7014e-09  1.3557e-09  1.1739e-09  2.6628e-09  2.5442e-09  3.1275e-09  3.0327e-09  2.5133e-09  4.0278e-09  2.0017e-09  1.7251e-09  1.4198e-09  2.6385e-09  3.1912e-09  2.5488e-09  2.6495e-09  inf  inf  2.1232e-09  1.8208e-09
