#=========================================================================================
# Carina intensities
# Date: 30 october 2017
# Unit: W m-2 sr-1
#=========================================================================================
#X_Y    COJ4-3      COJ5-4      COJ6-5       COJ7-6      COJ8-7     COJ9-8      COJ10-9     COJ11-10    COJ12-11    COJ13-12    13COJ5-4    13COJ6-5    13COJ7-6    13COJ8-7    13COJ9-8    13COJ10-9   13COJ11-10  13COJ12-11  13COJ13-12  CI609       CI370       OI145
2_9     4.0794e-09  7.3358e-09  1.0509e-08  1.2349e-08  1.3552e-08  1.1007e-08  9.7522e-09  6.5416e-09  3.6539e-09  2.1398e-09  1.2488e-09  1.8726e-09  1.6947e-09  1.3746e-09  1.2151e-09  1.3639e-09  1.0637e-09  7.9645e-10  6.7692e-10  1.3784e-09  3.4577e-09  0.
2_10    4.1535e-09  7.8608e-09  1.0809e-08  1.2096e-08  1.3028e-08  1.1830e-08  9.9747e-09  6.6329e-09  3.4736e-09  2.2137e-09  1.6208e-09  1.7714e-09  1.7138e-09  1.3979e-09  1.0802e-09  1.2586e-09  9.6161e-10  8.1271e-10  6.3974e-10  1.7471e-09  3.7397e-09  0.
3_7     2.9443e-09  5.1539e-09  7.7745e-09  9.3929e-09  1.1456e-08  1.2207e-08  1.0946e-08  7.6720e-09  4.7837e-09  2.5467e-09  1.2185e-09  1.4556e-09  1.2849e-09  1.1898e-09  1.0600e-09  1.1156e-09  4.2241e-10  4.7750e-10  4.1983e-10  1.1401e-09  2.5713e-09  0.
3_8     6.0927e-09  7.3390e-09  1.1312e-08  1.2724e-08  1.5390e-08  1.3577e-08  1.2003e-08  8.2484e-09  4.8608e-09  2.7104e-09  1.4131e-09  1.9835e-09  1.7951e-09  1.4191e-09  1.0554e-09  1.2496e-09  5.3507e-10  5.2793e-10  4.8757e-10  1.3537e-09  3.4967e-09  0.
3_9     6.3580e-09  8.6387e-09  1.2825e-08  1.4277e-08  1.6342e-08  1.3843e-08  1.1770e-08  7.9844e-09  4.4352e-09  2.7726e-09  1.6163e-09  2.1908e-09  1.9790e-09  1.4795e-09  1.0386e-09  1.3009e-09  6.9085e-10  6.0934e-10  6.8104e-10  1.6281e-09  4.1404e-09  0.
3_10    6.8713e-09  8.7977e-09  1.2610e-08  1.3293e-08  1.4555e-08  1.3788e-08  1.1233e-08  7.4934e-09  3.9577e-09  2.6993e-09  1.7301e-09  2.0043e-09  1.8342e-09  1.3734e-09  1.0009e-09  1.2250e-09  7.5116e-10  7.9136e-10  8.8598e-10  1.8481e-09  4.2279e-09  0.
3_11    5.0684e-09  8.2248e-09  1.0905e-08  1.1795e-08  1.2420e-08  1.2158e-08  9.5556e-09  6.3449e-09  3.3949e-09  2.2509e-09  1.6700e-09  1.5003e-09  1.5043e-09  1.2823e-09  8.9694e-10  1.0158e-09  6.4138e-10  9.0430e-10  1.0058e-09  1.7607e-09  3.9807e-09  0.
4_6     2.8629e-09  3.1833e-09  4.6553e-09  5.5693e-09  7.0008e-09  9.0814e-09  8.0766e-09  6.1558e-09  4.0059e-09  2.6525e-09  9.1319e-10  9.3248e-10  7.9456e-10  8.1074e-10  8.9610e-10  9.6978e-10  5.1386e-10  3.3118e-10  6.9633e-10  9.1949e-10  1.4266e-09  0.
4_7     2.8852e-09  5.4658e-09  7.8576e-09  9.6417e-09  1.1880e-08  1.3250e-08  1.1826e-08  8.6972e-09  5.2539e-09  3.0586e-09  1.2946e-09  1.4013e-09  1.3328e-09  1.1694e-09  9.3418e-10  1.2323e-09  4.3870e-10  3.4187e-10  4.2278e-10  1.2459e-09  2.5763e-09  0.
4_8     5.6067e-09  7.1255e-09  1.0245e-08  1.1905e-08  1.4579e-08  1.3778e-08  1.2085e-08  8.6541e-09  5.1046e-09  3.0077e-09  1.4990e-09  1.7449e-09  1.6848e-09  1.3704e-09  8.1167e-10  1.2627e-09  4.1605e-10  3.6924e-10  4.1564e-10  1.3486e-09  3.2970e-09  0.
