n,ell,line,a0_best,a1_best,target_best
0,0,co_v0_j4__v0_j3,3.0,0.01,
0,1,co_v0_j5__v0_j4,3.0,0.01,
0,2,co_v0_j6__v0_j5,3.0,0.01,
0,3,co_v0_j7__v0_j6,3.0,0.01,
0,4,co_v0_j8__v0_j7,3.0,0.01,
0,5,co_v0_j9__v0_j8,3.0,0.01,
0,6,co_v0_j10__v0_j9,3.0,0.01,
0,7,co_v0_j11__v0_j10,3.0,0.01,
0,8,co_v0_j12__v0_j11,3.0,0.01,
0,9,co_v0_j13__v0_j12,3.0,0.01,
0,10,13c_o_j5__j4,3.0,0.01,
0,11,13c_o_j6__j5,3.0,0.01,
0,12,13c_o_j7__j6,3.0,0.01,
0,13,13c_o_j8__j7,3.0,0.01,
0,14,13c_o_j9__j8,3.0,0.01,
0,15,13c_o_j10__j9,3.0,0.01,
0,16,13c_o_j11__j10,3.0,0.01,
0,17,13c_o_j12__j11,3.0,0.01,
0,18,13c_o_j13__j12,3.0,0.01,
0,19,c_el3p_j1__el3p_j0,3.0,0.01,
0,20,c_el3p_j2__el3p_j1,3.0,0.01,
1,0,co_v0_j4__v0_j3,3.0,0.01,
1,1,co_v0_j5__v0_j4,3.0,0.01,
1,2,co_v0_j6__v0_j5,3.0,0.01,
1,3,co_v0_j7__v0_j6,3.0,0.01,
1,4,co_v0_j8__v0_j7,3.0,0.01,
1,5,co_v0_j9__v0_j8,3.0,0.01,
1,6,co_v0_j10__v0_j9,3.0,0.01,
1,7,co_v0_j11__v0_j10,3.0,0.01,
1,8,co_v0_j12__v0_j11,3.0,0.01,
1,9,co_v0_j13__v0_j12,3.0,0.01,
1,10,13c_o_j5__j4,3.0,0.01,
1,11,13c_o_j6__j5,3.0,0.01,
1,12,13c_o_j7__j6,3.0,0.01,
1,13,13c_o_j8__j7,3.0,0.01,
1,14,13c_o_j9__j8,3.0,0.01,
1,15,13c_o_j10__j9,3.0,0.01,
1,16,13c_o_j11__j10,3.0,0.01,
1,17,13c_o_j12__j11,3.0,0.01,
1,18,13c_o_j13__j12,3.0,0.01,
1,19,c_el3p_j1__el3p_j0,3.0,0.01,
1,20,c_el3p_j2__el3p_j1,3.0,0.01,
2,0,co_v0_j4__v0_j3,3.0,0.01,
2,1,co_v0_j5__v0_j4,3.0,0.01,
2,2,co_v0_j6__v0_j5,3.0,0.01,
2,3,co_v0_j7__v0_j6,3.0,0.01,
2,4,co_v0_j8__v0_j7,3.0,0.01,
2,5,co_v0_j9__v0_j8,3.0,0.01,
2,6,co_v0_j10__v0_j9,3.0,0.01,
2,7,co_v0_j11__v0_j10,3.0,0.01,
2,8,co_v0_j12__v0_j11,3.0,0.01,
2,9,co_v0_j13__v0_j12,3.0,0.01,
2,10,13c_o_j5__j4,3.0,0.01,
2,11,13c_o_j6__j5,3.0,0.01,
2,12,13c_o_j7__j6,3.0,0.01,
2,13,13c_o_j8__j7,3.0,0.01,
2,14,13c_o_j9__j8,3.0,0.01,
2,15,13c_o_j10__j9,3.0,0.01,
2,16,13c_o_j11__j10,3.0,0.01,
2,17,13c_o_j12__j11,3.0,0.01,
2,18,13c_o_j13__j12,3.0,0.01,
2,19,c_el3p_j1__el3p_j0,3.0,0.01,
2,20,c_el3p_j2__el3p_j1,3.0,0.01,
3,0,co_v0_j4__v0_j3,3.0,0.01,
3,1,co_v0_j5__v0_j4,3.0,0.01,
3,2,co_v0_j6__v0_j5,3.0,0.01,
3,3,co_v0_j7__v0_j6,3.0,0.01,
3,4,co_v0_j8__v0_j7,3.0,0.01,
3,5,co_v0_j9__v0_j8,3.0,0.01,
3,6,co_v0_j10__v0_j9,3.0,0.01,
3,7,co_v0_j11__v0_j10,3.0,0.01,
3,8,co_v0_j12__v0_j11,3.0,0.01,
3,9,co_v0_j13__v0_j12,3.0,0.01,
3,10,13c_o_j5__j4,3.0,0.01,
3,11,13c_o_j6__j5,3.0,0.01,
3,12,13c_o_j7__j6,3.0,0.01,
3,13,13c_o_j8__j7,3.0,0.01,
3,14,13c_o_j9__j8,3.0,0.01,
3,15,13c_o_j10__j9,3.0,0.01,
3,16,13c_o_j11__j10,3.0,0.01,
3,17,13c_o_j12__j11,3.0,0.01,
3,18,13c_o_j13__j12,3.0,0.01,
3,19,c_el3p_j1__el3p_j0,3.0,0.01,
3,20,c_el3p_j2__el3p_j1,3.0,0.01,
4,0,co_v0_j4__v0_j3,3.0,0.01,
4,1,co_v0_j5__v0_j4,3.0,0.01,
4,2,co_v0_j6__v0_j5,3.0,0.01,
4,3,co_v0_j7__v0_j6,3.0,0.01,
4,4,co_v0_j8__v0_j7,3.0,0.01,
4,5,co_v0_j9__v0_j8,3.0,0.01,
4,6,co_v0_j10__v0_j9,3.0,0.01,
4,7,co_v0_j11__v0_j10,3.0,0.01,
4,8,co_v0_j12__v0_j11,3.0,0.01,
4,9,co_v0_j13__v0_j12,3.0,0.01,
4,10,13c_o_j5__j4,3.0,0.01,
4,11,13c_o_j6__j5,3.0,0.01,
4,12,13c_o_j7__j6,3.0,0.01,
4,13,13c_o_j8__j7,3.0,0.01,
