X_Y   CO J=1-0   C2H N=1-0 J=3/2-1/2 F=2-1   C3H2 J=2-1 K+=1-0 K-=2-1   CS J=2-1   HCN J=1-0 F=2-1   HCO+ J=1-0   HNC J=1-0   SO J=3-2 K=2-1
0_0   1.9146E-10   4.6569E-11   2.7999E-11   3.7665E-11   2.1011E-11   3.1496E-11   3.1337E-11   3.8689E-11
1_0   1.9872E-10   3.7273E-11   3.2591E-11   3.3763E-11   2.4971E-11   2.9431E-11   3.1485E-11   4.1534E-11
2_0   1.7447E-10   3.5311E-11   3.5430E-11   3.5196E-11   2.4042E-11   2.7754E-11   2.4700E-11   3.6740E-11
3_0   1.9127E-10   4.1345E-11   3.7388E-11   3.8488E-11   2.6587E-11   2.7665E-11   2.9136E-11   4.0782E-11
4_0   1.7524E-10   3.6725E-11   4.3881E-11   3.8837E-11   2.6486E-11   3.5503E-11   3.1309E-11   3.6561E-11
5_0   1.8375E-10   3.8989E-11   4.1388E-11   4.0236E-11   3.1599E-11   3.2169E-11   2.5844E-11   3.6201E-11
6_0   1.7352E-10   3.6050E-11   3.7277E-11   3.5337E-11   3.5844E-11   3.5879E-11   2.9222E-11   3.4144E-11
7_0   1.4894E-10   4.4708E-11   3.4848E-11   3.1354E-11   2.5195E-11   3.4670E-11   3.7857E-11   3.7458E-11
8_0   1.7059E-10   3.7215E-11   3.3548E-11   3.0679E-11   4.2241E-11   3.0519E-11   2.8811E-11   4.5012E-11
9_0   1.7713E-10   3.6173E-11   3.1423E-11   3.3973E-11   4.5361E-11   3.0218E-11   3.2626E-11   4.2075E-11
10_0   1.8064E-10   4.3919E-11   3.4243E-11   3.8715E-11   2.8616E-11   2.9002E-11   3.6952E-11   4.4242E-11
11_0   1.9382E-10   3.9285E-11   3.3048E-11   4.0898E-11   1.4901E-11   3.0490E-11   3.2785E-11   4.4781E-11
12_0   1.7335E-10   3.4106E-11   3.5740E-11   3.8382E-11   2.0502E-11   2.7630E-11   3.3474E-11   4.3328E-11
13_0   1.5039E-10   4.0085E-11   2.9346E-11   3.9651E-11   3.0274E-11   4.4443E-11   3.5261E-11   4.1148E-11
14_0   1.4256E-10   4.1167E-11   3.6754E-11   4.0593E-11   3.6348E-11   4.2759E-11   2.9688E-11   3.7325E-11
15_0   1.7151E-10   3.8124E-11   3.2483E-11   3.5774E-11   3.1039E-11   3.5043E-11   3.2518E-11   3.4052E-11
16_0   2.0035E-10   4.3880E-11   3.6694E-11   3.6512E-11   5.2594E-11   3.1037E-11   3.3444E-11   3.8905E-11
17_0   1.9819E-10   4.5181E-11   4.3430E-11   3.9479E-11   4.4367E-11   3.4035E-11   3.1152E-11   3.9412E-11
18_0   2.1656E-10   4.6302E-11   3.8772E-11   4.6744E-11   3.2499E-11   4.0448E-11   3.1925E-11   3.2241E-11
19_0   1.8148E-10   3.8892E-11   3.7212E-11   4.3979E-11   5.2710E-11   2.7837E-11   3.8149E-11   3.5274E-11
20_0   1.4535E-10   4.9384E-11   4.6690E-11   3.3090E-11   2.9805E-11   4.0969E-11   3.9854E-11   3.7740E-11
21_0   1.4739E-10   4.9435E-11   4.8396E-11   3.3181E-11   3.0522E-11   3.0110E-11   3.9637E-11   3.5135E-11
22_0   1.5698E-10   5.0899E-11   4.2932E-11   3.6554E-11   5.2692E-11   3.3511E-11   4.5944E-11   3.5936E-11
23_0   1.5053E-10   6.2012E-11   5.0982E-11   4.2806E-11   3.9795E-11   3.0658E-11   5.3146E-11   4.3226E-11
24_0   1.5239E-10   4.5194E-11   4.1295E-11   4.6083E-11   2.9620E-11   3.4103E-11   3.9082E-11   4.3016E-11
25_0   1.5739E-10   4.4541E-11   4.8548E-11   4.2354E-11   3.1105E-11   4.0915E-11   4.2736E-11   4.2461E-11
26_0   1.5774E-10   5.3050E-11   5.9094E-11   4.2300E-11   4.1403E-11   3.6696E-11   3.9568E-11   3.7500E-11
27_0   1.2847E-10   4.3783E-11   5.0835E-11   3.9171E-11   2.7725E-11   2.6681E-11   3.4334E-11   3.3950E-11
28_0   1.3182E-10   4.9301E-11   4.7987E-11   3.8826E-11   3.9119E-11   3.8562E-11   4.8303E-11   3.3778E-11
29_0   1.4383E-10   4.6408E-11   4.9759E-11   4.0460E-11   3.9165E-11   4.7299E-11   4.7592E-11   2.9866E-11
30_0   1.3902E-10   4.5255E-11   5.4277E-11   3.6402E-11   3.6229E-11   4.5526E-11   3.7163E-11   3.4510E-11
31_0   1.4884E-10   4.6413E-11   4.7983E-11   3.7729E-11   2.2919E-11   2.8795E-11   3.5365E-11   3.3164E-11
