X_Y    13CO J=1-0    C18O J=1-0    C2H N=1-0 J=3/2-1/2 F=2-1    C3H2 J=2-1 K+=1-0 K-=2-1    CN N=1-0 J=3/2-1/2    CO J=1-0    CS J=2-1    HCN J=1-0 F=2-1    HCO+ J=1-0    HNC J=1-0    SO J=3-2 K=2-1
0_0    6.17114413298237e-11    5.672167225697883e-11    4.656933214116846e-11    2.799928500967112e-11    1.1541365666500587e-10    1.9145846459893814e-10    3.766541448139253e-11    2.101130401753402e-11    3.1496315453411944e-11    3.133748817231424e-11    3.86888657002295e-11
1_0    5.872485303530397e-11    4.9924343818014495e-11    3.7272875006285807e-11    3.2590655774901697e-11    1.2632558655283276e-10    1.98723496436427e-10    3.376287985066238e-11    2.4970675089949553e-11    2.9430965858097545e-11    3.1485307488857555e-11    4.153391097889227e-11
2_0    5.944185132392652e-11    5.613867016141883e-11    3.531146321524259e-11    3.5429912370918826e-11    1.2474865409778626e-10    1.7446766382123357e-10    3.5195783082090154e-11    2.4042122992436858e-11    2.775361672507728e-11    2.4699613262932278e-11    3.6740456062372564e-11
3_0    5.6540969988461345e-11    5.599602815923966e-11    4.13448353964476e-11    3.738848598673334e-11    1.2708821345500452e-10    1.9127495652631206e-10    3.8487544950843486e-11    2.6587029093548572e-11    2.7664543038472374e-11    2.913566044305609e-11    4.078151927356021e-11
4_0    5.844810707965684e-11    6.079010547210036e-11    3.6724640998048055e-11    4.388087499276252e-11    1.2431010106162458e-10    1.7523792735572693e-10    3.883690099624282e-11    2.6485588660277814e-11    3.550282857722924e-11    3.130893779602511e-11    3.656091239914016e-11
5_0    5.888177279059542e-11    6.393044002437002e-11    3.8988963849797826e-11    4.1388311733425894e-11    1.088687991839884e-10    1.8375185652988246e-10    4.0235801556694854e-11    3.1599212694131296e-11    3.2169282424753674e-11    2.5843826820308735e-11    3.6200590146097234e-11
6_0    6.160699889062354e-11    6.107716709035557e-11    3.604977563624879e-11    3.727696682641235e-11    9.846007045863196e-11    1.7351687970265353e-10    3.533655609311575e-11    3.584388059215417e-11    3.58785945595208e-11    2.922247726319148e-11    3.4143912972622766e-11
7_0    6.174391616207607e-11    5.69671395521346e-11    4.4707849113288484e-11    3.4848008882021965e-11    8.345875260678438e-11    1.4894268886724958e-10    3.1354038494317465e-11    2.5194853058772177e-11    3.467009482271823e-11    3.785650485131884e-11    3.745773412477284e-11
8_0    5.361653676164769e-11    5.568167602297212e-11    3.72148607879445e-11    3.354803928195125e-11    7.57338358697747e-11    1.7059365394858378e-10    3.067868995527725e-11    4.224103966707942e-11    3.0519077541807255e-11    2.8810728531991406e-11    4.50118927819224e-11
9_0    5.243023491352183e-11    5.6517550603185644e-11    3.617296974147179e-11    3.142273555747249e-11    8.907875605780122e-11    1.771315501446436e-10    3.397332415643267e-11    4.536106905612129e-11    3.021818760362156e-11    3.262597565362098e-11    4.207501182174573e-11
10_0    5.181574710811321e-11    5.651838875274324e-11    4.39186455319648e-11    3.424344060329695e-11    9.550786640317485e-11    1.8064092750651428e-10    3.871486133714355e-11    2.8615759661778855e-11    2.90024831887682e-11    3.695197070631422e-11    4.424222338236472e-11
11_0    5.745958360947089e-11    5.4324914518806794e-11    3.928530578919632e-11    3.3048304650145565e-11    8.762791371405633e-11    1.9382013785296805e-10    4.089750651682523e-11    1.490133172008705e-11    3.0490207505094343e-11    3.2784817698475624e-11    4.478092203927168e-11
12_0    6.49559592272688e-11    5.1607817861813027e-11    3.4105614002672944e-11    3.573996429737717e-11    9.065298955772861e-11    1.7335348950497938e-10    3.838165928917347e-11    2.0502055704939824e-11    2.762999522787258e-11    3.34742002665453e-11    4.332769540351128e-11
13_0    6.063631231640355e-11    5.754509432947969e-11    4.0085161999668274e-11    2.934616712710038e-11    1.0467715885991927e-10    1.503897139013099e-10    3.965141978482829e-11    3.027407528274361e-11    4.444278830138716e-11    3.52606613937768e-11    4.1148410884884106e-11
14_0    5.330834035971296e-11    5.878734249903576e-11    4.1166687928325206e-11    3.6753709980189805e-11    1.1018340769249433e-10    1.425571863684953e-10    4.0592637155669183e-11    3.634830249873086e-11    4.275929305832888e-11    2.968776323480341e-11    3.732466091784377e-11
15_0    4.941910628505597e-11    5.629060549220903e-11    3.812423312781311e-11    3.248282413990988e-11    1.1643277487245414e-10    1.7151128965709297e-10    3.5773805510018514e-11    3.103860767284602e-11    3.5043031541411955e-11    3.251815827110833e-11    3.405182917800641e-11
16_0    5.071101873181555e-11    5.6255044003837255e-11    4.3879592993507355e-11    3.669372023885898e-11    1.2461356143149021e-10    2.003487537654798e-10    3.6512075362658554e-11    5.259409448969886e-11    3.103719846734834e-11    3.3444194286133956e-11    3.8904831239115736e-11
17_0    5.855882163643092e-11    5.189792813395352e-11    4.5181216443872435e-11    4.3430265393512885e-11    1.190561592482019e-10    1.981907382408208e-10    3.9478930479419e-11    4.4367344857935345e-11    3.40345690812113e-11    3.115164195305962e-11    3.9411528944739915e-11
18_0    6.505900886099052e-11    5.629362651479021e-11    4.630156055314556e-11    3.8772447220643316e-11    1.1614764566084693e-10    2.1655664185508774e-10    4.6744449333144304e-11    3.249938427470613e-11    4.044768846541705e-11    3.192549787902643e-11    3.224070503088616e-11
19_0    5.877432009439346e-11    6.471167830595072e-11    3.889223797713181e-11    3.72124561190682e-11    1.210426626710172e-10    1.8148158771244285e-10    4.3978806845813866e-11    5.270964708425379e-11    2.783721152027045e-11    3.8149304754374596e-11    3.5274417768230754e-11
20_0    5.0315713579506e-11    5.704645981576003e-11    4.938418996905204e-11    4.6689887885104215e-11    1.0273054200872955e-10    1.4535287178736436e-10    3.3089702794918147e-11    2.9804797109304066e-11    4.096859374561e-11    3.985390777924803e-11    3.7740323670602873e-11
21_0    5.44260353057229e-11    5.5799081434076775e-11    4.943495329781979e-11    4.839626474828357e-11    9.515872304800498e-11    1.4738630268356928e-10    3.318072126407503e-11    3.052219003869185e-11    3.0109668343399574e-11    3.963711336280586e-11    3.5135293984962223e-11
