X_Y   CO J=1-0   C2H N=1-0 J=3/2-1/2 F=2-1   C3H2 J=2-1 K+=1-0 K-=2-1   CS J=2-1   HCN J=1-0 F=2-1   HCO+ J=1-0   HNC J=1-0   SO J=3-2 K=2-1
0_0   1.3180E-08   2.2220E-10   2.7875E-11   2.7661E-10   3.1295E-10   5.3512E-10   1.4811E-10   2.2068E-10
1_0   1.1651E-08   2.1894E-10   -6.4341E-12   2.2756E-10   2.8574E-10   4.5687E-10   1.3151E-10   1.8666E-10
2_0   9.6921E-09   1.4382E-10   -3.6401E-11   1.3908E-10   1.9010E-10   3.8167E-10   1.4290E-10   8.1889E-11
3_0   7.8823E-09   1.1148E-10   5.1602E-12   5.1009E-11   1.7658E-10   2.7074E-10   1.0912E-10   6.1698E-11
4_0   6.4107E-09   1.1251E-10   3.6454E-11   -7.3845E-11   5.1275E-11   2.0460E-10   7.7093E-11   4.3056E-11
5_0   5.6526E-09   4.0910E-11   -2.4364E-11   -2.7911E-11   2.5993E-11   2.2341E-10   -1.3443E-11   1.8100E-11
6_0   5.5398E-09   7.5608E-11   6.9968E-12   8.0393E-11   2.7224E-11   1.6293E-10   -4.5018E-11   4.6952E-11
7_0   5.4599E-09   1.4664E-10   -2.6331E-12   7.4152E-11   1.8151E-11   9.3118E-11   9.5813E-11   3.9719E-11
8_0   5.1099E-09   1.0474E-10   -5.8105E-12   3.8362E-11   3.2070E-11   1.1736E-10   1.1729E-10   -2.0894E-12
9_0   4.6583E-09   6.3385E-11   -4.8215E-11   5.3689E-11   -1.7744E-11   1.0953E-10   9.0442E-11   1.9259E-11
10_0   4.3583E-09   1.0953E-10   5.8734E-11   9.5917E-11   -8.7852E-11   9.1097E-11   1.0934E-10   3.0634E-11
11_0   4.1587E-09   1.1420E-11   3.3911E-11   8.5958E-11   -1.0155E-10   1.6689E-10   1.1775E-10   4.9483E-11
12_0   3.7968E-09   1.9931E-11   -9.4963E-12   5.2433E-11   -1.2146E-11   1.4984E-10   1.1356E-10   5.7007E-11
13_0   3.4687E-09   1.2034E-10   -4.4858E-12   2.2600E-11   3.2908E-11   1.5030E-10   8.5211E-11   3.0488E-11
14_0   3.4855E-09   2.0813E-10   5.5062E-11   4.0670E-11   1.0832E-10   2.0189E-10   2.4638E-11   7.5885E-11
15_0   3.8288E-09   1.7431E-10   5.6276E-11   7.3646E-11   7.7199E-11   1.6936E-10   -4.3747E-11   9.7570E-11
16_0   4.4992E-09   2.3924E-10   -3.2679E-11   1.2034E-10   1.4366E-10   1.8080E-10   4.1687E-11   5.4019E-11
17_0   4.9958E-09   1.0371E-10   -5.1361E-11   1.4826E-10   1.4813E-10   1.7415E-10   7.5720E-11   5.8420E-11
18_0   4.8434E-09   9.3141E-11   2.8971E-11   1.0764E-10   4.6174E-11   2.1364E-10   4.0508E-11   3.5368E-11
19_0   4.2700E-09   1.1931E-10   1.2395E-10   4.9014E-11   1.7581E-11   2.7128E-10   4.6668E-11   1.2482E-11
20_0   3.6947E-09   1.5368E-10   4.3600E-11   -6.9035E-12   3.7227E-11   2.1992E-10   -4.0891E-11   4.3518E-11
21_0   3.4551E-09   4.1334E-11   6.1548E-11   2.5210E-11   -4.7683E-11   1.6253E-10   -2.6564E-11   5.1468E-11
22_0   3.3229E-09   9.6431E-11   5.4726E-12   1.3454E-11   -1.9474E-10   1.5267E-10   4.9391E-11   6.5233E-11
23_0   3.1205E-09   8.3777E-11   1.6918E-11   -9.4548E-13   -1.8849E-11   4.0928E-11   -3.0188E-12   7.8422E-11
24_0   2.9356E-09   1.0319E-10   -7.0737E-11   4.0880E-11   9.6425E-11   4.4119E-11   -8.5783E-11   6.3702E-11
25_0   2.7656E-09   9.3737E-11   -2.0298E-11   5.0967E-11   4.4011E-11   1.2336E-10   -6.8835E-11   2.5512E-11
26_0   2.6596E-09   6.3644E-11   2.3240E-11   9.1258E-11   -3.4493E-11   3.2610E-11   -7.8461E-11   2.7777E-13
27_0   2.5968E-09   5.4940E-11   -1.2970E-12   6.6789E-11   1.7950E-11   -9.9057E-12   -1.2405E-10   -1.3303E-11
28_0   2.4968E-09   9.9050E-12   -7.2256E-11   3.0036E-11   7.0911E-11   -5.5941E-11   9.1753E-12   8.0485E-12
29_0   2.4290E-09   9.6427E-12   -1.4877E-10   6.0032E-11   1.3261E-10   -1.3274E-11   1.0013E-10   1.8149E-11
30_0   2.5639E-09   9.4890E-12   -1.0211E-10   4.6623E-11   9.0225E-11   8.2767E-11   -9.4515E-12   4.3540E-11
31_0   2.7238E-09   2.6004E-11   7.8071E-11   4.6724E-11   5.4395E-11   8.3870E-11   -7.7404E-11   1.4575E-10
32_0   2.6135E-09   1.2901E-10   7.0437E-11   7.5264E-11   1.3415E-10   -4.1765E-11   -1.6686E-11   1.5952E-10
33_0   2.4153E-09   8.5312E-11   -2.9471E-12   5.3962E-11   9.0594E-11   -2.3577E-11   -1.1810E-11   8.9362E-11
34_0   2.3001E-09   -3.4375E-11   2.3935E-12   1.5433E-11   -2.5626E-11   4.0952E-11   1.0647E-11   9.2998E-11
35_0   2.3578E-09   2.2340E-12   -4.4871E-11   -2.6005E-11   -5.5411E-11   7.5919E-11   3.5496E-11   9.2281E-11
36_0   2.4992E-09   6.1735E-11   -7.6106E-11   -4.4165E-11   -6.4984E-11   1.1905E-10   7.9837E-11   7.6529E-11
37_0   2.3560E-09   7.7565E-11   -3.1595E-11   -1.6781E-11   7.5432E-12   1.8015E-10   1.2681E-10   1.1552E-10
38_0   2.2116E-09   7.2275E-11   3.6909E-11   1.4371E-11   -1.2528E-11   7.5325E-11   8.9788E-11   1.4321E-10
