X_Y    13CO J=1-0    C18O J=1-0    C2H N=1-0 J=3/2-1/2 F=2-1    C3H2 J=2-1 K+=1-0 K-=2-1    CN N=1-0 J=3/2-1/2    CO J=1-0    CS J=2-1    HCN J=1-0 F=2-1    HCO+ J=1-0    HNC J=1-0    SO J=3-2 K=2-1
0_0    2.203505093906215e-09    2.0949398798315986e-10    2.2219535337638594e-10    2.7875102262462478e-11    2.525111906453263e-10    1.318031663706249e-08    2.7660565013999654e-10    3.1294981096581755e-10    5.351221228037487e-10    1.481134913963596e-10    2.206813268524247e-10
1_0    1.7764800253265046e-09    2.391626183061944e-10    2.1894090277055453e-10    -6.4340605863502675e-12    2.6022112982153493e-10    1.1650851712368142e-08    2.2755639396783566e-10    2.857360824855728e-10    4.5686728788589553e-10    1.3151204050450982e-10    1.8666237234965806e-10
2_0    1.3756340413651426e-09    2.0606363496167868e-10    1.4382304324769376e-10    -3.640066214713176e-11    2.900183115227911e-10    9.692083011754122e-09    1.3908490080690384e-10    1.9010437557441375e-10    3.8167402238018585e-10    1.4289760606263716e-10    8.18894442816991e-11
3_0    1.1115710795068924e-09    1.074321506530952e-10    1.114773039403098e-10    5.160198269889021e-12    2.2907971435931992e-10    7.882277857076193e-09    5.100888667820859e-11    1.7657889317102166e-10    2.7073766139331813e-10    1.0912384892983196e-10    6.169811074715819e-11
4_0    9.09008650138962e-10    6.316340597723897e-11    1.125144404514058e-10    3.645407460001763e-11    2.08661297474518e-10    6.410680032268781e-09    -7.384544542625997e-11    5.1275308967611106e-11    2.0459601583737962e-10    7.709286653207567e-11    4.3056137716728915e-11
5_0    7.538248080269415e-10    1.2715473384469937e-10    4.0909783251210437e-11    -2.436381461399718e-11    2.544305165402388e-10    5.652635152445456e-09    -2.791074063567296e-11    2.5992685023405636e-11    2.2341480733483092e-10    -1.3442570608823862e-11    1.8100099101072343e-11
6_0    6.779286813340768e-10    1.9732992142820277e-10    7.560806903208669e-11    6.996835468869993e-12    2.3249057522128063e-10    5.539773787417747e-09    8.03926091665548e-11    2.7223846143171336e-11    1.6293453274217858e-10    -4.501820146352166e-11    4.695248899656798e-11
7_0    6.70005299847595e-10    1.8382174588420943e-10    1.4664375640774852e-10    -2.6330582403089812e-12    1.3116675038112362e-10    5.459886106443737e-09    7.415241820624144e-11    1.815141090855891e-11    9.311814178131017e-11    9.581336801943316e-11    3.971948589348488e-11
8_0    6.681478038214603e-10    6.469140153473826e-11    1.0474301543071888e-10    -5.810498790119969e-12    1.0961314396196859e-10    5.109911591629369e-09    3.8362181800100674e-11    3.2069791703198266e-11    1.1736284035026545e-10    1.1728907952635992e-10    -2.089360962483259e-12
9_0    6.57720119656886e-10    -1.2375040023295244e-11    6.338497867185001e-11    -4.8215006083138646e-11    1.74953136445115e-10    4.658264293011798e-09    5.36885343265169e-11    -1.7743643026848545e-11    1.0952787364453168e-10    9.044244103836643e-11    1.925930927268034e-11
