n,ell,line,a0_best,a1_best,target_best
0,0,co_v0_j1__v0_j0,3.0,0.01,
0,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
0,2,cs_j2__j1,3.0,0.01,
0,3,so_n2_j3__n1_j2,3.0,0.01,
0,4,hcop_j1__j0,3.0,0.01,
0,5,hcn_j1_f2__j0_f1,3.0,0.01,
0,6,hnc_j1__j0,3.0,0.01,
0,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
0,8,13c_o_j1__j0,3.0,0.01,
0,9,c_18o_j1__j0,3.0,0.01,
0,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
1,0,co_v0_j1__v0_j0,3.0,0.01,
1,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
1,2,cs_j2__j1,3.0,0.01,
1,3,so_n2_j3__n1_j2,3.0,0.01,
1,4,hcop_j1__j0,3.0,0.01,
1,5,hcn_j1_f2__j0_f1,3.0,0.01,
1,6,hnc_j1__j0,3.0,0.01,
1,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
1,8,13c_o_j1__j0,3.0,0.01,
1,9,c_18o_j1__j0,3.0,0.01,
1,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
2,0,co_v0_j1__v0_j0,3.0,0.01,
2,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
2,2,cs_j2__j1,3.0,0.01,
2,3,so_n2_j3__n1_j2,3.0,0.01,
2,4,hcop_j1__j0,3.0,0.01,
2,5,hcn_j1_f2__j0_f1,3.0,0.01,
2,6,hnc_j1__j0,3.0,0.01,
2,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
2,8,13c_o_j1__j0,3.0,0.01,
2,9,c_18o_j1__j0,3.0,0.01,
2,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
3,0,co_v0_j1__v0_j0,3.0,0.01,
3,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
3,2,cs_j2__j1,3.0,0.01,
3,3,so_n2_j3__n1_j2,3.0,0.01,
3,4,hcop_j1__j0,3.0,0.01,
3,5,hcn_j1_f2__j0_f1,3.0,0.01,
3,6,hnc_j1__j0,3.0,0.01,
3,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
3,8,13c_o_j1__j0,3.0,0.01,
3,9,c_18o_j1__j0,3.0,0.01,
3,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
4,0,co_v0_j1__v0_j0,3.0,0.01,
4,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
4,2,cs_j2__j1,3.0,0.01,
4,3,so_n2_j3__n1_j2,3.0,0.01,
4,4,hcop_j1__j0,3.0,0.01,
4,5,hcn_j1_f2__j0_f1,3.0,0.01,
4,6,hnc_j1__j0,3.0,0.01,
4,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
4,8,13c_o_j1__j0,3.0,0.01,
4,9,c_18o_j1__j0,3.0,0.01,
4,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
5,0,co_v0_j1__v0_j0,3.0,0.01,
5,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
5,2,cs_j2__j1,3.0,0.01,
5,3,so_n2_j3__n1_j2,3.0,0.01,
5,4,hcop_j1__j0,3.0,0.01,
5,5,hcn_j1_f2__j0_f1,3.0,0.01,
5,6,hnc_j1__j0,3.0,0.01,
5,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
5,8,13c_o_j1__j0,3.0,0.01,
5,9,c_18o_j1__j0,3.0,0.01,
5,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
6,0,co_v0_j1__v0_j0,3.0,0.01,
6,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
6,2,cs_j2__j1,3.0,0.01,
6,3,so_n2_j3__n1_j2,3.0,0.01,
6,4,hcop_j1__j0,3.0,0.01,
6,5,hcn_j1_f2__j0_f1,3.0,0.01,
6,6,hnc_j1__j0,3.0,0.01,
6,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
6,8,13c_o_j1__j0,3.0,0.01,
6,9,c_18o_j1__j0,3.0,0.01,
6,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
7,0,co_v0_j1__v0_j0,3.0,0.01,
7,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
7,2,cs_j2__j1,3.0,0.01,
7,3,so_n2_j3__n1_j2,3.0,0.01,
7,4,hcop_j1__j0,3.0,0.01,
7,5,hcn_j1_f2__j0_f1,3.0,0.01,
7,6,hnc_j1__j0,3.0,0.01,
7,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
7,8,13c_o_j1__j0,3.0,0.01,
7,9,c_18o_j1__j0,3.0,0.01,
7,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
8,0,co_v0_j1__v0_j0,3.0,0.01,
8,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
8,2,cs_j2__j1,3.0,0.01,
8,3,so_n2_j3__n1_j2,3.0,0.01,
8,4,hcop_j1__j0,3.0,0.01,
8,5,hcn_j1_f2__j0_f1,3.0,0.01,
8,6,hnc_j1__j0,3.0,0.01,
8,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
8,8,13c_o_j1__j0,3.0,0.01,
8,9,c_18o_j1__j0,3.0,0.01,
8,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
9,0,co_v0_j1__v0_j0,3.0,0.01,
9,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
9,2,cs_j2__j1,3.0,0.01,
9,3,so_n2_j3__n1_j2,3.0,0.01,
9,4,hcop_j1__j0,3.0,0.01,
9,5,hcn_j1_f2__j0_f1,3.0,0.01,
9,6,hnc_j1__j0,3.0,0.01,
9,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
9,8,13c_o_j1__j0,3.0,0.01,
9,9,c_18o_j1__j0,3.0,0.01,
9,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
10,0,co_v0_j1__v0_j0,3.0,0.01,
10,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
10,2,cs_j2__j1,3.0,0.01,
10,3,so_n2_j3__n1_j2,3.0,0.01,
10,4,hcop_j1__j0,3.0,0.01,
10,5,hcn_j1_f2__j0_f1,3.0,0.01,
10,6,hnc_j1__j0,3.0,0.01,
10,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
10,8,13c_o_j1__j0,3.0,0.01,
10,9,c_18o_j1__j0,3.0,0.01,
10,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
11,0,co_v0_j1__v0_j0,3.0,0.01,
11,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
11,2,cs_j2__j1,3.0,0.01,
11,3,so_n2_j3__n1_j2,3.0,0.01,
11,4,hcop_j1__j0,3.0,0.01,
11,5,hcn_j1_f2__j0_f1,3.0,0.01,
11,6,hnc_j1__j0,3.0,0.01,
11,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
11,8,13c_o_j1__j0,3.0,0.01,
11,9,c_18o_j1__j0,3.0,0.01,
11,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
12,0,co_v0_j1__v0_j0,3.0,0.01,
12,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
12,2,cs_j2__j1,3.0,0.01,
12,3,so_n2_j3__n1_j2,3.0,0.01,
12,4,hcop_j1__j0,3.0,0.01,
12,5,hcn_j1_f2__j0_f1,3.0,0.01,
12,6,hnc_j1__j0,3.0,0.01,
12,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
12,8,13c_o_j1__j0,3.0,0.01,
12,9,c_18o_j1__j0,3.0,0.01,
12,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
13,0,co_v0_j1__v0_j0,3.0,0.01,
13,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
13,2,cs_j2__j1,3.0,0.01,
13,3,so_n2_j3__n1_j2,3.0,0.01,
13,4,hcop_j1__j0,3.0,0.01,
13,5,hcn_j1_f2__j0_f1,3.0,0.01,
13,6,hnc_j1__j0,3.0,0.01,
13,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
13,8,13c_o_j1__j0,3.0,0.01,
