n,ell,line,a0_best,a1_best,target_best
0,0,co_v0_j11__v0_j10,-3.1676259059374594,0.17629079903839937,2.5294673851074467
0,1,co_v0_j12__v0_j11,-3.2179788572045513,0.14097839097906778,2.5224055667480494
0,2,co_v0_j13__v0_j12,-3.1706713738640975,0.08864591929830738,2.531602927130182
0,3,co_v0_j15__v0_j14,-3.7515926451558115,0.3086922368180919,2.561355277894685
0,4,co_v0_j16__v0_j15,-4.002759445854537,0.5434010562919406,2.557795612117846
0,5,co_v0_j17__v0_j16,-4.195033670676734,0.4960322465246932,2.5528999086206836
0,6,co_v0_j18__v0_j17,-4.526108304266245,0.01,2.5501160115193833
0,7,co_v0_j19__v0_j18,-4.429954489856744,0.30663496379783767,2.5669059931008724
0,8,h2_v0_j2__v0_j0,-3.5710266521485994,0.01,2.2622728346309473
0,9,h2_v0_j3__v0_j1,4.0845995605459775,0.7325094137271098,2.2590635396689356
0,10,h2_v0_j4__v0_j2,-2.565136204316391,0.01,2.3492187477492696
0,11,h2_v0_j5__v0_j3,-2.3471228715770427,0.01,2.447453970508076
0,12,h2_v0_j6__v0_j4,-3.013078864203843,0.08977060090630902,2.4785343996566884
0,13,h2_v0_j7__v0_j5,-2.6587323440494517,0.20648837735519152,2.5184417421207126
0,14,chp_j1__j0,-4.92828476585514,0.1290854141470191,2.517941564117466
0,15,chp_j2__j1,-4.289213176196771,0.225232234144991,2.542655167548344
0,16,chp_j3__j2,-4.4711449549060385,0.1257733853472039,2.531829869003559
