n,ell,line,a0_best,a1_best,target_best
0,0,co_v0_j11__v0_j10,-6.198986249129145,0.4161119676992943,2.449305982642459
0,1,co_v0_j12__v0_j11,-6.3537368023253755,0.26380283026821166,2.454253445546388
0,2,co_v0_j13__v0_j12,-6.238334727845825,0.23315719672184076,2.4706225016381573
0,3,co_v0_j15__v0_j14,-6.781483739054127,0.11006956128146157,2.496425855674093
0,4,co_v0_j16__v0_j15,-7.079739279178053,0.31842693067906247,2.510024249567692
0,5,co_v0_j17__v0_j16,-7.1998150441589654,0.46393103949644376,2.4965779004509443
0,6,co_v0_j18__v0_j17,-7.483780804890054,0.18842159398406147,2.506188965407554
0,7,co_v0_j19__v0_j18,-7.380691300848996,0.2565915528942799,2.514984604236501
0,8,h2_v0_j2__v0_j0,-6.607675451352743,0.42315244222963017,2.5298983223145166
0,9,h2_v0_j3__v0_j1,-5.623079522083185,0.49814929594595114,2.545976567210534
0,10,h2_v0_j4__v0_j2,-5.607921642102646,0.4161119676992943,2.500550067050295
0,11,h2_v0_j5__v0_j3,-5.394225294705945,0.29886617645628943,2.3350664683324682
0,12,h2_v0_j6__v0_j4,-5.983456573973654,0.3791001147318911,2.2486674084646623
0,13,h2_v0_j7__v0_j5,-5.655517150213644,0.40228043772488,2.220341612042125
0,14,chp_j1__j0,-7.919902940712787,0.3498483201519458,2.3913757053224716
0,15,chp_j2__j1,-7.282884472455461,0.4595270054842341,2.4471233011140012
0,16,chp_j3__j2,-7.382745404816579,0.5248833605333287,2.4783886611872687
