X_Y    13CO J=2-1    C+ 158um    CH+ J=1-0    CO J=10-9    CO J=2-1    HCO+ J=3-2
0_0    3.0318137e-09    nan    nan    2.423904e-06    1.7510603e-09    nan
1_0    2.4543698e-09    nan    nan    1.9973422e-06    1.470378e-09    nan
2_0    2.0571382e-09    nan    1.9160404e-07    1.1536841e-06    1.4773602e-09    nan
3_0    2.745013e-09    nan    2.3929894e-07    9.0216776e-07    1.9818047e-09    nan
4_0    2.7390088e-09    nan    1.9794348e-07    1.1380437e-06    2.378232e-09    nan
5_0    2.4492426e-09    nan    1.8665759e-07    1.0348602e-06    2.1893078e-09    6.047591e-08
6_0    3.153908e-09    nan    1.7562913e-07    9.917968e-07    1.5741506e-09    4.986342e-08
7_0    4.187621e-09    nan    nan    1.0708903e-06    2.319332e-09    3.753799e-08
8_0    3.123879e-09    nan    nan    9.517897e-07    2.1818714e-09    2.280859e-08
9_0    2.8271656e-09    nan    nan    9.651152e-07    1.7584726e-09    1.702311e-08
10_0    2.8660851e-09    nan    nan    9.316269e-07    1.5094529e-09    1.4860013e-08
11_0    2.434697e-09    nan    nan    9.0760096e-07    1.9259072e-09    1.43256464e-08
12_0    2.2028501e-09    nan    nan    1.040494e-06    2.5495779e-09    1.2812381e-08
13_0    1.981388e-09    nan    1.4703375e-07    9.742695e-07    2.448788e-09    1.3600665e-08
14_0    2.3623e-09    nan    nan    9.725412e-07    1.7357449e-09    1.23173365e-08
15_0    2.3476272e-09    nan    nan    1.0309161e-06    1.8079156e-09    1.2320037e-08
16_0    2.5858167e-09    nan    nan    1.103305e-06    1.454404e-09    1.1943175e-08
17_0    2.655692e-09    nan    2.5105817e-07    1.1084446e-06    2.256239e-09    1.15711005e-08
18_0    1.9619668e-09    nan    2.5105817e-07    1.0013338e-06    2.13837e-09    1.1296992e-08
19_0    2.1773139e-09    nan    nan    8.822499e-07    1.8348169e-09    1.2075554e-08
20_0    2.2874953e-09    nan    nan    9.604873e-07    2.0920978e-09    1.16692e-08
21_0    2.5844993e-09    nan    nan    9.601873e-07    1.9326225e-09    1.190148e-08
22_0    2.5398328e-09    nan    nan    1.0776274e-06    1.6130675e-09    1.3034269e-08
23_0    2.227874e-09    nan    nan    1.0442604e-06    1.4886237e-09    1.2667009e-08
24_0    1.8404694e-09    nan    nan    1.0299573e-06    1.7840374e-09    1.3963361e-08
25_0    2.097889e-09    nan    nan    1.1786861e-06    1.9348996e-09    1.3568959e-08
26_0    2.3071256e-09    nan    nan    1.0331945e-06    1.4294232e-09    1.2346197e-08
27_0    2.2074087e-09    nan    nan    9.85134e-07    1.5086407e-09    1.2597728e-08
28_0    2.185304e-09    nan    nan    1.1385865e-06    1.837327e-09    1.3691178e-08
29_0    2.16919e-09    nan    2.9790462e-07    9.728401e-07    2.0359565e-09    1.2691533e-08
30_0    2.1997084e-09    nan    nan    1.0496396e-06    1.9703321e-09    1.1389873e-08
31_0    2.3346622e-09    nan    nan    1.0578682e-06    1.4950353e-09    1.0835087e-08
32_0    2.6201168e-09    nan    nan    9.932147e-07    1.0371743e-09    1.1732572e-08
33_0    2.213367e-09    nan    nan    1.1145241e-06    1.6796741e-09    1.2097748e-08
