X_Y    13CO J=2-1    C+ 158um    CH+ J=1-0    CO J=10-9    CO J=2-1    HCO+ J=3-2
0_0    6.43445e-08    nan    nan    -1.5698655e-06    9.762374e-07    nan
1_0    6.537173e-08    nan    nan    -1.3727921e-06    9.90654e-07    nan
2_0    6.475346e-08    nan    2.4983203e-07    -2.108265e-07    1.0210225e-06    nan
3_0    6.151421e-08    nan    1.8396711e-06    2.2226504e-06    1.0649542e-06    nan
4_0    6.7370564e-08    nan    1.6454493e-06    3.3636893e-06    1.1481166e-06    nan
5_0    8.6569834e-08    nan    2.1571232e-07    5.522471e-06    1.3349585e-06    9.833675e-08
6_0    1.17284905e-07    nan    1.5647798e-06    1.2970806e-05    1.5800016e-06    9.1436206e-08
7_0    1.4791131e-07    nan    nan    2.7561115e-05    1.7259753e-06    8.0392226e-08
8_0    1.7088107e-07    nan    nan    3.0052244e-05    1.7405763e-06    5.8468085e-08
9_0    1.7788625e-07    nan    nan    1.2023703e-05    1.7325841e-06    4.4728928e-08
10_0    1.8355297e-07    nan    nan    7.760771e-06    1.7629095e-06    4.054006e-08
11_0    1.89005e-07    nan    nan    7.745543e-06    1.7838256e-06    3.158678e-08
12_0    1.8390017e-07    nan    nan    6.3056928e-06    1.7547069e-06    3.2036773e-08
13_0    1.6814205e-07    nan    4.5857485e-07    5.403958e-06    1.6843935e-06    2.5816236e-08
14_0    1.5392456e-07    nan    nan    4.557941e-06    1.6108092e-06    1.7354905e-08
15_0    1.5341118e-07    nan    nan    7.769551e-06    1.6213371e-06    3.854904e-08
16_0    1.7910581e-07    nan    nan    1.9086048e-05    1.8345173e-06    1.0146338e-07
17_0    2.6360192e-07    nan    3.633567e-06    6.730995e-05    2.2383733e-06    1.5831003e-07
18_0    3.8208768e-07    nan    3.633567e-06    0.00013231751    2.5568677e-06    1.6240602e-07
19_0    4.2894635e-07    nan    nan    0.00016131882    2.6331927e-06    1.290408e-07
20_0    3.913311e-07    nan    nan    0.00013496995    2.5718844e-06    8.1823195e-08
21_0    3.470324e-07    nan    nan    9.889279e-05    2.5133438e-06    6.60373e-08
22_0    3.559828e-07    nan    nan    6.459919e-05    2.5289676e-06    8.4077e-08
23_0    4.2466792e-07    nan    nan    4.5114204e-05    2.5056866e-06    1.06141314e-07
24_0    4.978865e-07    nan    nan    3.3459128e-05    2.4638123e-06    9.16621e-08
25_0    5.3121886e-07    nan    nan    3.8630693e-05    2.5599925e-06    7.2614334e-08
26_0    5.421392e-07    nan    nan    4.8715694e-05    2.6964794e-06    7.803933e-08
27_0    5.3994205e-07    nan    nan    4.7574344e-05    2.526219e-06    8.6152056e-08
28_0    4.9854486e-07    nan    nan    2.8708062e-05    2.0988452e-06    7.0249015e-08
29_0    4.245993e-07    nan    -5.008122e-07    1.4057927e-05    1.7724799e-06    4.5993804e-08
30_0    3.4917494e-07    nan    nan    6.0321795e-06    1.6275346e-06    4.188978e-08
31_0    2.8087706e-07    nan    nan    1.5874155e-06    1.5781908e-06    2.505422e-08
32_0    2.2720994e-07    nan    nan    3.2687542e-06    1.5275078e-06    1.2230145e-08
33_0    1.8725164e-07    nan    nan    3.4228133e-06    1.4629787e-06    1.962684e-08
34_0    1.6226524e-07    nan    nan    6.346507e-06    1.4523363e-06    2.4832959e-08
35_0    1.5602751e-07    nan    nan    5.53108e-06    1.4813776e-06    1.9061966e-08
36_0    1.6333567e-07    nan    -5.4820015e-07    3.9160427e-06    1.4722808e-06    4.981555e-09
37_0    1.7376996e-07    nan    nan    2.3423213e-06    1.4049463e-06    1.3470957e-08
38_0    1.7572496e-07    nan    9.4931175e-07    6.3481525e-07    1.3172257e-06    4.3203205e-08
39_0    1.6938885e-07    nan    nan    1.9050049e-06    1.25857e-06    9.842845e-08
40_0    1.6485872e-07    nan    nan    2.6243745e-06    1.2347541e-06    1.3613142e-07
0_1    6.611934e-08    0.0015110725    2.8096105e-07    -1.5418511e-06    1.0055575e-06    nan
1_1    6.7267436e-08    0.0014847205    2.7578102e-07    -1.3402473e-06    1.016073e-06    nan
2_1    6.731797e-08    0.0014932408    2.726746e-07    -1.8972656e-07    1.0400665e-06    nan
3_1    6.4985784e-08    0.0016212286    1.4338209e-06    2.1842977e-06    1.0834417e-06    nan
4_1    7.05153e-08    0.001832926    1.4101911e-06    3.3049712e-06    1.1772588e-06    nan
5_1    8.847566e-08    0.002011812    2.9251822e-07    5.555862e-06    1.3773783e-06    9.65929e-08
6_1    1.1863227e-07    0.0020573204    1.2148662e-06    1.2995942e-05    1.638877e-06    9.466048e-08
7_1    1.5077549e-07    0.001995256    2.0556668e-06    2.7233064e-05    1.7963777e-06    8.816236e-08
8_1    1.7443551e-07    0.0019574703    2.1076864e-06    2.9702203e-05    1.8027617e-06    7.0332895e-08
9_1    1.8115053e-07    0.0019719773    2.0456353e-06    1.2029883e-05    1.7709875e-06    4.496766e-08
10_1    1.8695815e-07    0.0018750821    -1.3868893e-07    7.8282255e-06    1.7814638e-06    3.134663e-08
11_1    1.9407565e-07    0.001681373    -3.1401783e-07    7.650187e-06    1.7920142e-06    2.4584752e-08
12_1    1.8959635e-07    0.0016367291    -2.1068915e-07    6.2387394e-06    1.7618877e-06    2.5718165e-08
13_1    1.7177774e-07    0.0018182594    2.462136e-07    5.3606204e-06    1.701783e-06    2.1923396e-08
14_1    1.5624714e-07    0.0020500962    -2.5818985e-09    4.5841334e-06    1.6410024e-06    1.8276172e-08
15_1    1.5469713e-07    0.002327578    9.912492e-07    7.988038e-06    1.6464353e-06    3.59198e-08
16_1    1.773434e-07    0.0026751321    1.0581884e-06    1.9379855e-05    1.834354e-06    9.5139015e-08
17_1    2.5449805e-07    0.0029744385    3.4958225e-06    6.689895e-05    2.224959e-06    1.6478798e-07
18_1    3.7466268e-07    0.003278201    3.5710448e-06    0.00013098681    2.5854322e-06    1.7708479e-07
19_1    4.4385544e-07    0.0034541124    5.0189115e-06    0.0001596669    2.705577e-06    1.4123044e-07
20_1    4.2053327e-07    0.003369068    4.189305e-06    0.0001340828    2.659875e-06    9.660499e-08
21_1    3.7321917e-07    0.0031282152    2.695195e-06    9.889511e-05    2.595314e-06    8.318989e-08
22_1    3.7766674e-07    0.002791177    1.8288557e-06    6.488041e-05    2.5794775e-06    9.155513e-08
23_1    4.421112e-07    0.0024595908    1.8399907e-06    4.542912e-05    2.5306629e-06    1.0008157e-07
24_1    5.1288157e-07    0.0022817524    1.8499833e-06    3.372871e-05    2.4837543e-06    8.6345786e-08
25_1    5.436623e-07    0.002272293    1.6500105e-06    3.869918e-05    2.5799147e-06    7.246137e-08
26_1    5.506588e-07    0.0022957555    1.0315877e-06    4.854213e-05    2.7157134e-06    8.066831e-08
27_1    5.443558e-07    0.0023390811    9.328958e-07    4.768581e-05    2.552405e-06    8.581238e-08
28_1    4.99986e-07    0.002323936    1.1036228e-06    2.9210563e-05    2.126449e-06    6.4893165e-08
29_1    4.241948e-07    0.0021195216    2.515204e-07    1.4367539e-05    1.7888251e-06    3.879609e-08
30_1    3.4853102e-07    0.0018156443    8.306769e-08    6.1803944e-06    1.6339649e-06    3.3819397e-08
31_1    2.8084563e-07    0.0015684305    -3.541879e-07    1.7297011e-06    1.5747169e-06    2.254691e-08
32_1    2.2782007e-07    0.0015427963    2.5786628e-07    3.3652495e-06    1.5210553e-06    1.6241845e-08
33_1    1.8854792e-07    0.0016651845    1.0433678e-07    3.4276839e-06    1.4591155e-06    2.08444e-08
34_1    1.6317635e-07    0.0017049877    9.324017e-08    6.3329667e-06    1.4451056e-06    2.386085e-08
35_1    1.5552374e-07    0.0016371192    -3.5172513e-07    5.4939032e-06    1.4657226e-06    1.8596477e-08
36_1    1.6364547e-07    0.0016372772    -2.7120456e-07    3.88937e-06    1.4549647e-06    8.423014e-09
37_1    1.7643528e-07    0.0017084776    8.765054e-07    2.3959128e-06    1.399612e-06    1.756506e-08
38_1    1.8118571e-07    0.0017275269    1.000409e-06    7.944405e-07    1.3291243e-06    3.5622744e-08
39_1    1.7612172e-07    0.0017018216    9.731173e-07    2.0375653e-06    1.2816755e-06    6.877985e-08
40_1    1.7200297e-07    0.0016815868    nan    2.6563057e-06    1.262261e-06    9.2046584e-08
0_2    7.15195e-08    0.0015005647    3.5818044e-07    -1.5023637e-06    1.0875701e-06    nan
1_2    7.27171e-08    0.0014882733    3.478392e-07    -1.2792626e-06    1.0917847e-06    nan
2_2    7.35547e-08    0.0015051701    3.541993e-07    -1.4428538e-07    1.1046301e-06    nan
3_2    7.268216e-08    0.0016331681    1.4877268e-06    1.8944954e-06    1.144955e-06    nan
4_2    7.7740125e-08    0.0018285124    8.052338e-07    2.699041e-06    1.2528723e-06    nan
5_2    9.4236775e-08    0.0019970203    8.656599e-07    5.0376266e-06    1.4726716e-06    9.2064056e-08
6_2    1.2341977e-07    0.0020434782    7.7280083e-07    1.264101e-05    1.7554698e-06    9.122612e-08
7_2    1.5710506e-07    0.0019974017    1.8646659e-06    2.6081852e-05    1.9317413e-06    9.0045994e-08
8_2    1.822865e-07    0.0019632704    1.6936178e-06    2.827118e-05    1.9276636e-06    7.480085e-08
9_2    1.8818791e-07    0.0019693775    1.4223946e-06    1.1587642e-05    1.8552969e-06    3.700282e-08
10_2    1.9243907e-07    0.0018728925    6.8567294e-07    7.378353e-06    1.8287811e-06    1.1700599e-08
11_2    2.0119585e-07    0.0016944242    1.3789946e-07    6.9815887e-06    1.8235971e-06    1.1561415e-08
