n,ell,line,a0_best,a1_best,target_best
0,0,co_v0_j11__v0_j10,-5.3018663610079235,0.018890294617197614,2.4455068762138343
0,1,co_v0_j12__v0_j11,-5.268587753592087,0.5025908099317578,2.487989666876848
0,2,co_v0_j13__v0_j12,-5.230491511923365,0.4304673468086067,2.5220686563549566
0,3,co_v0_j14__v0_j13,-5.396156181360902,0.3424782704796376,2.5477652491652476
0,4,co_v0_j15__v0_j14,-5.479700895199929,0.01,2.5409035112273446
0,5,co_v0_j16__v0_j15,-5.704113840936941,0.01,2.5296322149565134
0,6,co_v0_j17__v0_j16,-5.854754584698797,0.1402183763977897,2.5480531266651605
0,7,co_v0_j18__v0_j17,-6.099327968450108,0.01,2.5387792930437727
0,8,co_v0_j19__v0_j18,-6.2107905853654435,0.5371924909428308,2.54752374061969
0,9,co_v0_j20__v0_j19,-6.279433459839908,0.4598197964653216,2.563240729499859
0,10,co_v0_j21__v0_j20,-6.65736485064356,0.5463703090383047,2.543081883689737
0,11,co_v0_j23__v0_j22,-6.884969390207665,0.11024636954436683,2.534813610639648
0,12,h2_v0_j2__v0_j0,-5.69081294472287,0.33177531757299816,2.4715081240059678
0,13,h2_v0_j3__v0_j1,-4.546131285021161,0.428409977988493,2.4252828247600817
0,14,h2_v0_j4__v0_j2,-4.795482849075173,0.3640668687902588,2.446347536933527
0,15,h2_v0_j5__v0_j3,-4.910669868484609,0.33403213007859905,2.3951054060061914
0,16,h2_v0_j6__v0_j4,-4.88812554273909,0.3247474587600965,2.3964565540016394
0,17,h2_v0_j7__v0_j5,-5.010647271703299,0.24795264350587443,2.2441475305482634
0,18,chp_j1__j0,-6.662260466766373,0.41750830104460773,2.4319000571360005
0,19,chp_j2__j1,-6.74141967165335,0.28622937912919283,2.467693573151249
0,20,chp_j3__j2,-6.655981054624099,0.4326171465002803,2.471496875303699
0,21,chp_j4__j3,-6.728448526697895,0.4243421022857064,2.4844444304536717
0,22,chp_j5__j4,-6.547412685944039,0.30939062846745713,2.4967791440106666
0,23,chp_j6__j5,-7.563116118676526,0.43021553848724003,2.480238895682721
