n,ell,line,a0_best,a1_best,target_best
0,0,co_v0_j4__v0_j3,-8.59576122051534,0.1544987128774661,2.6781757803011272
0,1,co_v0_j5__v0_j4,-8.326396910325446,0.8482188454595423,2.6730274605690747
0,2,co_v0_j6__v0_j5,-8.582909728848023,0.5568744965723527,2.6824854066011876
0,3,co_v0_j7__v0_j6,-8.742286361453768,0.3314006570501549,2.656819320934119
0,4,co_v0_j8__v0_j7,-8.685091310222601,0.38726782340363,2.6509327821424096
0,5,co_v0_j9__v0_j8,-8.662311684883965,0.7224058874858219,2.667472796462557
0,6,co_v0_j10__v0_j9,-8.655028196196904,0.55406148520008,2.6516281550231984
0,7,co_v0_j11__v0_j10,-8.635152429957127,0.7700662836640941,2.654573324481508
0,8,co_v0_j12__v0_j11,-8.60876768108803,0.6701280919490865,2.6550888305830243
0,9,co_v0_j13__v0_j12,-8.68171950858062,0.6445919235666671,2.6564298323129223
